val,en_general_rarity,es_en_DEEP_general_rarity,es_en_DEEPL_general_rarity,es_en_GOOGLE_general_rarity,es_en_TRANSFORMERS_general_rarity,ar_en_DEEP_general_rarity,ar_en_DEEPL_general_rarity,ar_en_GOOGLE_general_rarity,ar_en_TRANSFORMERS_general_rarity,es_general_rarity,en_es_DEEP_general_rarity,en_es_DEEPL_general_rarity,en_es_GOOGLE_general_rarity,en_es_TRANSFORMERS_general_rarity,ar_general_rarity,en_ar_DEEP_general_rarity,en_ar_DEEPL_general_rarity,en_ar_GOOGLE_general_rarity,en_ar_TRANSFORMERS_general_rarity
100,0.6615017819671162,0.6541854647615728,0.6546227261707688,0.6553258734024546,0.6538179970721746,0.6642388952685363,0.6645323338402348,0.6653586003704004,0.6592091368454502,0.584364848043604,0.5982680599056897,0.5945658214931039,0.598824182169275,0.5855365775253996,0.8501478713217675,0.8492468114532629,0.8397726608516416,0.8499026688590008,0.847507282063223
350,0.6000642602720193,0.590881764232625,0.5928134252149936,0.591946656368973,0.5924897866810961,0.6020882517107011,0.6023780038482772,0.6032674211050784,0.5993301889091797,0.5347437488659765,0.5465992903976756,0.5447477411914544,0.5472057914115334,0.5354536761124966,0.8083880678949084,0.8031949338182027,0.7944269176771059,0.8040063228570217,0.8036703625734224
600,0.5665784168696478,0.5572048363029359,0.5592821500174726,0.5585355612447794,0.5588306949474037,0.5686706017153965,0.5687636792732199,0.570218982989369,0.5639036249207137,0.5009932124439422,0.5124106970758643,0.5111070556126128,0.5130701180476341,0.5016910631177421,0.7810005767681645,0.7761142803230087,0.7670788813478019,0.7769778453723264,0.7776177938157298
850,0.5367459886036184,0.5272935392180323,0.5293054689043352,0.5287912531962997,0.5286473475641866,0.5372030320663104,0.537900138948334,0.5388025516299418,0.5331074167401582,0.47527103372899054,0.4854588908179692,0.4836180896256653,0.48614368626501037,0.4755865751423054,0.7566001659652686,0.7489292481417328,0.7416818750183112,0.750188651353671,0.7524662981885307
1100,0.5154114229599635,0.5043091390495688,0.5073814868902097,0.505894790639799,0.5072310006512053,0.5147007844937567,0.5165943477342994,0.5163372720644714,0.5110752572294024,0.45775233412981686,0.4670528607126557,0.4660694915036309,0.46775694867288115,0.4580512121335499,0.7396239357153084,0.7313294319989467,0.7246335204250564,0.7326068919398271,0.7354962706090579
1350,0.5008797692643642,0.48992708427579934,0.49311424776622953,0.491567930369769,0.4931669250208478,0.4997267668971306,0.5020733155221752,0.5014965121399523,0.49615741776717587,0.44091205884644113,0.45096566305978636,0.4501917800271118,0.4517755358000665,0.4414179332819427,0.7227437805881666,0.7147543731220896,0.7079895656907645,0.7159520235107533,0.7177914636334167
1600,0.4716069613108756,0.4605755561872083,0.4632253681109476,0.46230002563161027,0.4635929086866959,0.47141794468810666,0.47229253484357214,0.4732827850261429,0.465206583636044,0.43237749331453185,0.4421458340642477,0.44166486203347793,0.4429351740207243,0.43277327278342576,0.7054735652445995,0.697111091668205,0.6905124791256978,0.6977410867598516,0.6999239490391358
1850,0.4556962740898326,0.4429434677986952,0.4465136759772673,0.44465736416479923,0.4470099245708257,0.45342677449535296,0.45505349397038913,0.45523968285908795,0.44854642727739624,0.4182896785016175,0.42751580377709486,0.427487926693784,0.4283287782528497,0.4183009642749348,0.6934285434412922,0.6840054982876193,0.6773640815178011,0.684630851258505,0.6875309616037395
2100,0.43718275606116486,0.424392668515879,0.4278911397111433,0.426160529525048,0.42810499731153373,0.4336260031275248,0.43620001469963576,0.43552010982678185,0.4287895595202773,0.40668783130481456,0.41507944320203044,0.4154594709802402,0.4159382499595192,0.4064596194982439,0.6791178806297244,0.669246835583444,0.6628843990817184,0.6696182986677269,0.6730438914125086
2350,0.4196781366563938,0.40691806492802507,0.41041588640876003,0.40882402073878155,0.41074739581375336,0.4155110022091063,0.41879211544097256,0.4175560396136915,0.4112714490843511,0.398281794148141,0.40591500172115613,0.406505764790738,0.4068741424552814,0.39777432897381026,0.6723663865836479,0.6619811117915088,0.656111735494796,0.6624089762749843,0.6668134666275589
2600,0.4047515884738674,0.39139753783478787,0.3949936030843,0.3933924386866299,0.39560129853405007,0.3998886863463556,0.4037003339919476,0.4019514854237226,0.39567363427128194,0.39060846941819266,0.3982269891752035,0.39902606008398167,0.39918972222348914,0.3900642433375143,0.6631853957041084,0.6517006609055737,0.6472605799809646,0.6520134893180785,0.65739069375275
2850,0.3927787330632377,0.3788220461246764,0.3825108141039076,0.3810716900296561,0.38333152253647507,0.38697887946142834,0.39093327547830864,0.3892176889491541,0.3834824852157158,0.3851259843173493,0.3919511227720217,0.3934552237777094,0.39295675824936066,0.3844500626316497,0.6546133988944982,0.6421852425804356,0.6379424779172955,0.6426129795912657,0.647744486727954
3100,0.381008841038734,0.3669461672847242,0.3706087371255307,0.3692551828434257,0.37139585810063797,0.3755771357431719,0.37906308680159045,0.3779049913897707,0.37161086347280003,0.37780390673033903,0.3846777247480478,0.38593320105484413,0.38566577378764283,0.3770759821017182,0.6440610615311428,0.6313085391462504,0.6269391157339622,0.6317384151990462,0.637386182656201
3350,0.3730576405265289,0.3589080955464187,0.36284486384810577,0.3611592818823233,0.36349717387599007,0.3672141697680665,0.37109704553293904,0.3695690552787516,0.3635027048729534,0.37040410172471866,0.3771957363257483,0.37897752967349674,0.3782296217113411,0.3699898606330344,0.638937211913364,0.6262062713776976,0.6218599349142132,0.626631089122432,0.6318947317298257
3600,0.3618496599517321,0.3471723516924946,0.35115322814664013,0.3494439879812893,0.35213216601165565,0.3545520440583402,0.3586096123440027,0.3569681750627045,0.35210268791816207,0.36304459290492547,0.36990910810082694,0.37205015790381524,0.37091121515253855,0.36250090317062444,0.6341157504785327,0.620961231586658,0.6170217700454923,0.6214726255399968,0.6271284647237245
3850,0.3527713474823185,0.337764794722046,0.3419507923753524,0.34008284121409865,0.3427536804439109,0.3451357798653823,0.3494393657163831,0.347569083660304,0.3424216586583737,0.3526861689766052,0.35927636005874825,0.36158183857972814,0.3602954489196866,0.352055219953588,0.6252989591723493,0.6123999932945113,0.6085574726196668,0.6129287838814093,0.6187136462756778
4100,0.34168589654146436,0.32588357650971583,0.3304240056011397,0.3283025394403861,0.33121391377688764,0.334220401700717,0.3380708993103941,0.33675797674666585,0.330936416926006,0.3445702382064505,0.3511523939950018,0.35314896599303525,0.3521921788300132,0.34392966510518824,0.6178280350212267,0.6037468210711758,0.5997634189612515,0.6042101915868656,0.611067817930058
4350,0.33028053563840043,0.3145645698443999,0.3195775344167199,0.31714948263047926,0.3201475351873389,0.32250861435609623,0.3267898322046947,0.32499807726161434,0.31934170723020017,0.33807338442210605,0.3444429663210064,0.34646298875931036,0.3455063384683089,0.3374651568141388,0.6118597158137958,0.5975485833574202,0.5936184387216631,0.5978766902366999,0.604772414301269
4600,0.32142307297189754,0.3062470308760712,0.3110532475945093,0.308875139331099,0.3113197574875281,0.31363186924628333,0.3179934074418472,0.3161095990982677,0.310186454381226,0.3296237766657826,0.33629554300998127,0.3381816028020669,0.33742317601852606,0.3293444654007252,0.6045263484461734,0.5898266212491179,0.5858122719022105,0.5899560257925304,0.5967719711383427
4850,0.31094847519284596,0.2962073082937104,0.30097907397046236,0.298876960073052,0.30124674498275994,0.3027886554351229,0.30700821120001603,0.30528176350406355,0.29937023130591345,0.3215581087421871,0.32824509783920874,0.3307505181982958,0.3293699880170761,0.3213666093967285,0.5991098399094246,0.5844805056227608,0.5806797494103255,0.5845559184986298,0.5914860108194239
5100,0.3022316451064898,0.286863785809476,0.29126000762722853,0.28962889275144393,0.29147541959608775,0.29390349537909277,0.2983107647711214,0.2964359885041013,0.290267892489862,0.3140896722481112,0.32090890469183864,0.32341534618714063,0.3220224516643918,0.31414694586774117,0.592232565031355,0.5767532659732855,0.5734141498481103,0.5768967648847614,0.5845379534373929
5350,0.29403725884457593,0.27883842984367657,0.2830356582838108,0.28165974803272487,0.28324615974945244,0.28581322513056323,0.2904068216140792,0.28833254521326074,0.2819406059826134,0.30587831305447105,0.31268531386861054,0.3149849337596511,0.3137516728776272,0.3059977753493714,0.5880511149005332,0.5722376664001829,0.5691876740316997,0.5723930337762149,0.5805965832980216
5600,0.28799678775660936,0.2728803946481003,0.27738765423521355,0.27572223780923516,0.2770059781121856,0.27724696797032206,0.2846890053206621,0.27976620518056783,0.27588215124355475,0.3014055737560535,0.308311937409099,0.31056562662364995,0.3093751217019196,0.30185091815830145,0.5831561992967881,0.5662291804561701,0.5636252661164063,0.5663352851819069,0.5762807409617927
5850,0.2813722409782374,0.26611876924261013,0.27058148282196703,0.268971444166843,0.27020811499884934,0.2705698096988798,0.27816365981766966,0.2731090219402674,0.26927402123585564,0.29720377743030624,0.30398379530146113,0.30648844345726817,0.305063887749912,0.29747229611013704,0.5796065834338171,0.562477671980161,0.5596775349537794,0.5626265823596452,0.5727030623248685
6100,0.2738994811739897,0.259229872006588,0.2638449232315499,0.262076070281981,0.2625475547450536,0.2636149988502842,0.2712709336360042,0.2661475007102985,0.2615235298469293,0.2938207286427931,0.30051018716984385,0.3030959549151534,0.30162389121692734,0.2941732780524589,0.5751590469563813,0.5580427575644269,0.5555312850902309,0.5581434467038023,0.5680246471589381
6350,0.270555261069667,0.2560784982979549,0.26065551091110195,0.25897922118325173,0.2593363740284088,0.26022836767698865,0.2679833632068981,0.26276778465869716,0.2581819993988402,0.2871089106004369,0.2933291113055413,0.29611981912358215,0.2944489512684165,0.2873383182679356,0.5692887322413828,0.5517199612435861,0.5494883223346213,0.5518442858710041,0.5623559408218441
6600,0.26522651019440247,0.25112795303072294,0.2555623781013869,0.25413481048296027,0.25421152825933413,0.25439282811928404,0.26251294871870656,0.2568510220155991,0.25275287454841716,0.2837255962793729,0.2894000484761818,0.29209017593264225,0.290535766733472,0.2834859576764074,0.5628155252591822,0.5450397969050096,0.5426224261779907,0.545259735509103,0.5557445388557095
6850,0.260166899146595,0.24637661648788856,0.2506056344667849,0.24937408542401704,0.24933074607185585,0.24900778655486813,0.25742797848144605,0.25152652708811085,0.24747677208915433,0.2805037939981479,0.28586230470474194,0.28858770822306307,0.2869694128496134,0.28025536305740767,0.5585695756372697,0.5404037076900877,0.5382941012082828,0.540626369754424,0.5516192546160642
7100,0.25569662011858596,0.2422028946866644,0.24624344296960055,0.2451785727749858,0.24497177927567734,0.24479675597087897,0.2531193666816256,0.24726039037466277,0.2431133333695933,0.27739062605588527,0.2827333627608213,0.2853874621685765,0.2837760090759819,0.2770722115654776,0.554364094046477,0.5360031068724759,0.5342707374720881,0.5361284211979797,0.5475840216534263
7350,0.25249822995976007,0.23886783121545466,0.24308027666326787,0.241834218562751,0.2418242393659561,0.24099278380185232,0.24977607308974137,0.24344047567569777,0.23981457914415544,0.2749112424845301,0.28010532023063184,0.28279762710370926,0.2811458760633298,0.2745073956173745,0.5498667645306408,0.531248927893754,0.5295537626864308,0.5312417298496899,0.5430020223637004
7600,0.24915274241146018,0.23506232194153082,0.23937760128654695,0.2380367119365381,0.23845123630941747,0.23764753731663396,0.24612715722043807,0.2400628890706541,0.23647948498494012,0.2723186542889331,0.2772362119102665,0.280247964605855,0.2782905063541956,0.27180168973168817,0.5456760703081499,0.5264370156437873,0.5250490487463977,0.5263504400089798,0.5387527461726523
7850,0.24476493057627396,0.2318815691580515,0.23515226886521032,0.2349070251407251,0.23430812574672322,0.23417816418538445,0.2415927615721149,0.23658952138673617,0.2323870791798849,0.2675401127346945,0.2723141040489908,0.2752816663758329,0.27337314917192046,0.2670483279601023,0.5397225333326444,0.5202518269906898,0.518917032949691,0.520203646043162,0.533067848825839
8100,0.2388220009225381,0.2258557398249925,0.2292514090017173,0.228913362124525,0.22814694952007597,0.22811805895913503,0.23580764117744726,0.23053856895836733,0.22610692085984108,0.26384101868517,0.2688595979565768,0.27157186038915127,0.2698941048604815,0.2632628857632706,0.5373591049689374,0.518100328152802,0.5171637371728655,0.5180255062965745,0.5301896697782349
8350,0.23587590968511452,0.22296632509762063,0.22645467873678743,0.22605901565563696,0.22514886994285155,0.22522374191387484,0.23292300693469226,0.22763869974021037,0.2232957528858789,0.25869916441209334,0.2637078224254422,0.2662041939241236,0.26475697904721335,0.2578780948312517,0.5308004989882793,0.5105367238447956,0.5095920198982026,0.5104357003870672,0.5228581163995928
8600,0.23244769132671483,0.21959494895347065,0.222977681534236,0.22274003411155047,0.2217547208176904,0.2219953963176576,0.229637542555017,0.22445378974883756,0.2201357981636038,0.2549923119824834,0.25982612494846524,0.2623449467780763,0.26086289945524266,0.2540512639385519,0.5254612020409405,0.5045500902611141,0.5038524716368493,0.5044441193703577,0.517270143066161
8850,0.22971865395142868,0.21657136337625454,0.2199528710176685,0.2197181188700075,0.21877594627264477,0.21895538827817237,0.22680766639817335,0.22138136110611048,0.21723310602314144,0.2524949014192573,0.25675572060254076,0.2594776262127446,0.25781444993634645,0.2515122886427177,0.5225340066492123,0.5013009474496078,0.5006440624505533,0.5012040877660026,0.5142157388535281
9100,0.22865846630460304,0.21554498951320986,0.2189777843606301,0.21869002938920049,0.2177054194509717,0.2178367924513057,0.22572153781137588,0.2202699614218532,0.21607245510161505,0.25088278713025447,0.2550238421039123,0.2577815747374186,0.2561099284675652,0.24982194253729884,0.5197478741919742,0.4983344060173014,0.49776619035817304,0.49821768695078417,0.511400194230113
9350,0.2256393184225198,0.2136730253207307,0.21702218524680958,0.21684614703673938,0.21494023013488844,0.2156651390905861,0.22290323999313694,0.21811618540325167,0.21339743031489583,0.2476560830684415,0.2517465915476945,0.25465010568870355,0.2528483674336929,0.2466250754056237,0.5142998162369699,0.49210278847242267,0.4920347464391902,0.4919524904946569,0.5056301422874118
9600,0.21997018778639923,0.20809469737476632,0.21145449335184283,0.21130132839303323,0.20946382227015548,0.20959912066424347,0.21741939433724874,0.2120488255367317,0.2078033890333734,0.24450373951034676,0.24869637794097985,0.2517766143688672,0.2497650626531766,0.24355381912107774,0.5116161570022335,0.4892364692207545,0.48931278352055513,0.4891437905858995,0.5027793818874307
9850,0.21818219857578258,0.20635543820514063,0.20968775247941973,0.20954600971050935,0.20772735883690127,0.20805644014964214,0.21567227701695213,0.21050026944936487,0.2061126290959918,0.24187727025712297,0.24628434522519885,0.24935125903169106,0.24737042454997735,0.24109628826322116,0.5085840435263314,0.48578669391669743,0.48584188862268424,0.4856567442084524,0.4999342356797004
10100,0.2164608663654079,0.20458358902772653,0.2078620674173546,0.20779884130576676,0.2060170630888353,0.20541815295933333,0.21373219161276155,0.20785215341104515,0.2043435524732809,0.2404988445879946,0.24486971192542692,0.24795641739916968,0.24597356016332855,0.23986418183906313,0.5048817372425913,0.48219681728073155,0.4825380926342456,0.482107942338299,0.4965191454145287
10350,0.21452131846446576,0.20235454117626137,0.2058627435293703,0.20559359351201276,0.20407993954478623,0.20346527985170793,0.21167898832088408,0.2059090692744721,0.20237489588451518,0.23904675891663124,0.24340537990920208,0.24639602264426652,0.244467825467933,0.2383132563861563,0.502196816560272,0.4791287965612339,0.479369950839382,0.4789757017267149,0.49389195368401784
10600,0.21235045777197614,0.20019871342205897,0.20365049168922264,0.20344940685863389,0.20184605707438077,0.20106315685064394,0.20942227718088507,0.20347868686573503,0.20007457322463917,0.235476136377605,0.23982803031788397,0.24284387979201416,0.24092345421839195,0.23480141913303273,0.4995051699305055,0.47640127496639206,0.4768187449884141,0.47631146667648594,0.4917272840881034
10850,0.21034051586534042,0.1980578086870187,0.20168808243840797,0.20129127338700536,0.1997566404229377,0.198889480463028,0.20748560070109912,0.20128333219765276,0.19799284373253126,0.23275540147128868,0.2371402638900297,0.23993775813632598,0.23825431824894874,0.23219041064819593,0.4948718633310478,0.47136221395042016,0.47182413195651285,0.4712559395914239,0.48717817209724185
11100,0.20832663933450998,0.19603029192573967,0.19961552596497517,0.1992400886688832,0.19770491921207398,0.19702978426570267,0.20551531043146234,0.19941633057773803,0.1960235908366,0.2311273852636417,0.23539886625899867,0.2381020733869322,0.23650246596804375,0.23054934848246586,0.4917352893661915,0.4679108230563678,0.46866892093990176,0.4677585833927738,0.48425705375244377
11350,0.20652070803836375,0.19418941729843947,0.19775114842625124,0.19740000677173655,0.19593412185439088,0.19519835186015652,0.20373081027433768,0.19757060964811307,0.19425455344815684,0.22959651088394797,0.23392474839800473,0.2361469198938002,0.23505883046718354,0.22924036830197816,0.4897211148082128,0.4656254956884895,0.4663929105258214,0.465506387198267,0.4821255719456327
11600,0.20528915226704872,0.1929185324602745,0.19649415208159515,0.1961508710388553,0.1947367407539051,0.19401724635252857,0.20253057710838482,0.19639672081449025,0.1931374045535678,0.2283041637179487,0.23245005509736977,0.23488187075186967,0.23358363777507557,0.22799512093399507,0.48786335815684945,0.4635552780172619,0.4642872916716808,0.4634647512378968,0.4803629467431147
11850,0.20425928462439777,0.19198370378633284,0.1955015532413374,0.19520610241545866,0.19382964123877758,0.19305212427846133,0.20159872028488843,0.19544616814024585,0.19224164917558986,0.2272198839290695,0.2312186388326762,0.2337904472289501,0.23233357537350746,0.22688569182090726,0.485075379359207,0.46077182532358535,0.461312083301154,0.46072078466169775,0.4774539718696862
12100,0.2016096948007731,0.1892207188277482,0.19273056438109218,0.1924576551863232,0.1911065092439757,0.19044111761588664,0.1989411094344676,0.19279397052535888,0.18961472148153444,0.22440754469967533,0.22808664771640008,0.23104661014600406,0.22917954295453363,0.22391635992631823,0.48269332397445797,0.45844537559229037,0.45884053457663776,0.45835181279718135,0.47533061920202774
12350,0.1991881851241276,0.1863532350105084,0.19000463331044767,0.18963579870399563,0.18846698729530703,0.1868248197557921,0.19602101708252256,0.18918024499936373,0.1869706125345691,0.223318200226091,0.227028547102571,0.2298683947030006,0.2281104853699236,0.22286689063737192,0.4809826385234738,0.4564700844322247,0.4569368636158967,0.4563928549784958,0.47387855063671486
12600,0.197957321397323,0.18530773894805394,0.18889720596900436,0.18860299768581398,0.18726851690712,0.18561550628326212,0.19471444148651942,0.18800268970279788,0.18562754434809953,0.2219552260501258,0.22551071156201483,0.2285524208578565,0.22661741426144977,0.2214263923913141,0.4786120549411606,0.454297694404826,0.4546255522697201,0.4541974528926383,0.4716903815658639
12850,0.1963287569145729,0.1837176821579409,0.18738095250273012,0.18700677795162238,0.18580709384070454,0.18415325565838148,0.1930159351075861,0.18655028381502228,0.18398693302018268,0.219634949950996,0.22309509517614334,0.22610390875868416,0.2242124132871444,0.21908395651508694,0.4737650328068785,0.44927002451595627,0.4496721702901271,0.4491891486750016,0.46696535098011316
13100,0.19510540551032712,0.18246714190214652,0.18621303380640716,0.18573455541097705,0.18467283947506624,0.18293783692889287,0.19185394188061858,0.1853230559380321,0.18281427156393792,0.21847369841432707,0.2217835937539953,0.2249551852583722,0.22290881619065772,0.2179038807745513,0.4713537761831977,0.44686438087827346,0.4473420114211735,0.4468027500509667,0.4644550310270891
13350,0.1938394170542976,0.1812003922773557,0.18485821061302776,0.18445836106722044,0.1832691570943917,0.18167049409883368,0.1905142924866947,0.18406355256555776,0.1814236920837176,0.21691706909716646,0.220050407764015,0.22317311108968707,0.22117322308232862,0.21635328584622657,0.4679247722679846,0.44319881215496393,0.4440200238868137,0.4431152128771201,0.46117384539529854
13600,0.19225268976312737,0.1787315419300176,0.1820790203549975,0.1820264425865811,0.18176972352539197,0.18041594139589318,0.18912881891235725,0.18280830792014974,0.18010222443546264,0.2147773610658756,0.21778154053117602,0.22093398239533782,0.21886051134308765,0.2141358994784263,0.4660801354009862,0.44084033060884736,0.44188044968633655,0.440802717697329,0.45920303299088594
13850,0.19070659837155432,0.17710041109361593,0.18061228804512872,0.18037931076761968,0.18032121056336764,0.17875395109347694,0.18763287409154406,0.18114350827173403,0.17860934649324986,0.21322055062494058,0.21618120446567107,0.21934902506552717,0.21727430323637978,0.21260987712649193,0.4644739050758372,0.4393961265664957,0.43988860238654,0.43933118085339007,0.45766495342695257
14100,0.18927753127713068,0.17536014866863378,0.1790563301276299,0.17865398819379386,0.17876592061404467,0.17710155051468873,0.18607659306958144,0.1794707709173994,0.17707520031271481,0.21188577622260585,0.21457910775086447,0.2181423641242903,0.215659442812597,0.21125851825290454,0.46346407329138706,0.43816616301836075,0.4386782432660389,0.43808870336271205,0.4565618094342628
14350,0.18797740678992542,0.17410983880402464,0.1777675606532456,0.1774212214696234,0.1775119197733108,0.17575720650455462,0.1847346427055836,0.17808263981240854,0.17580497156689825,0.21017353458335242,0.212908304145483,0.21643161801738567,0.2140075146600431,0.209585153336449,0.4613623724930103,0.43581323317690807,0.4364171451359057,0.4357227576543572,0.4542214504958919
14600,0.18658115102080905,0.17209176793984657,0.17647068116183964,0.1753927655464511,0.17609990742386014,0.17437878046312372,0.18336561411691787,0.1767074460983341,0.17430922805602056,0.2090024295718226,0.21167764009758433,0.2150611237135045,0.21278434463672127,0.20835851151448107,0.4579030096582895,0.4323401178938711,0.4327936143444603,0.43228939866771143,0.4504696888557349
